list_id,film_id
1,1
1,7
1,10
1,11
1,9
1,2
2,9
2,13
2,5
2,8
2,11
2,19
3,13
3,14
3,4
3,17
4,7
4,10
4,3
4,9
4,14
5,2
5,11
5,4
5,14
5,3
6,8
6,7
6,12
6,15
6,6
7,9
7,17
7,18
7,10
7,3
7,4
7,12
7,20
8,4
8,17
8,18
8,1
9,2
9,3
9,11
9,7
9,14
9,13
9,10
9,16
9,1
10,6
10,9
10,15
10,12
10,20
10,17
10,8
10,5
11,2
11,3
11,1
11,11
11,20
11,12
12,1
12,2
12,20
12,5
12,16
12,4
13,3
13,13
13,17
13,9
13,6
13,15
13,19
14,4
14,5
14,12
14,7
14,18
14,13
15,4
15,11
15,12
15,17
16,12
16,3
16,4
16,17
17,5
17,15
17,7
17,18
17,3
17,2
17,6
